Detectado,Acuracia
tvmonitor, 0.9976
tvmonitor, 0.9313
keyboard, 0.7660
tvmonitor, 0.9967
tvmonitor, 0.8930
keyboard, 0.8252
tvmonitor, 0.9971
laptop, 0.8287
keyboard, 0.5993
tvmonitor, 0.9960
tvmonitor, 0.9295
cup, 0.5022
tvmonitor, 0.9976
tvmonitor, 0.8066
keyboard, 0.6109
tvmonitor, 0.9990
keyboard, 0.8993
tvmonitor, 0.8680
cup, 0.6158
tvmonitor, 0.9987
tvmonitor, 0.8959
keyboard, 0.8684
cup, 0.5223
